VID,Year,Make,Model,Trim,VIN,Value
26082B,11,CHEVROLET,HHR,LT 2.4L,3GNAABDU-B,13100
26083B,11,CHEVROLET,HHR,LT,3GNAABDW-B,13100
26084B,11,CHEVROLET,HHR,LT 2.4L,3GNAABEU-B,13100
26085B,11,CHEVROLET,HHR,LT,3GNAABEW-B,13100
26086B,11,CHEVROLET,HHR,LT 2.4L,3GNAABFU-B,13100
26087B,11,CHEVROLET,HHR,LT,3GNAABFW-B,13100
26088B,11,CHEVROLET,HHR,LT 2.4L,3GNAABHU-B,13100
26089B,11,CHEVROLET,HHR,LT,3GNAABHW-B,13100
26090B,11,CHEVROLET,HHR,2LT,3GNAACBU-B,13100
26091B,11,CHEVROLET,HHR,2LT,3GNAACCU-B,13100
26092B,11,CHEVROLET,HHR,2LT,3GNAACDU-B,13100
26093B,11,CHEVROLET,HHR,2LT,3GNAACEU-B,13100
26094B,11,CHEVROLET,HHR,2LT,3GNAACFU-B,13100
26095B,11,CHEVROLET,HHR,2LT,3GNAACHU-B,13100
25130B,11,CHEVROLET,HHR,LS,3GNAAEBW-B,12600
25131B,11,CHEVROLET,HHR,LS,3GNAAECW-B,12600
25132B,11,CHEVROLET,HHR,LS,3GNAAEDW-B,12600
25133B,11,CHEVROLET,HHR,LS,3GNAAEEW-B,12600
25134B,11,CHEVROLET,HHR,LS,3GNAAEFW-B,12600
25135B,11,CHEVROLET,HHR,LS,3GNAAEHW-B,12600
26096B,11,CHEVROLET,HHR,LT 2.4L,3GNAAFBU-B,13100
26097B,11,CHEVROLET,HHR,LT,3GNAAFBW-B,13100
26098B,11,CHEVROLET,HHR,LT 2.4L,3GNAAFCU-B,13100
26099B,11,CHEVROLET,HHR,LT,3GNAAFCW-B,13100
26100B,11,CHEVROLET,HHR,LT 2.4L,3GNAAFDU-B,13100
26101B,11,CHEVROLET,HHR,LT,3GNAAFDW-B,13100
26102B,11,CHEVROLET,HHR,LT 2.4L,3GNAAFEU-B,13100
26103B,11,CHEVROLET,HHR,LT,3GNAAFEW-B,13100
26104B,11,CHEVROLET,HHR,LT 2.4L,3GNAAFFU-B,13100
26105B,11,CHEVROLET,HHR,LT,3GNAAFFW-B,13100
26106B,11,CHEVROLET,HHR,LT 2.4L,3GNAAFHU-B,13100
26107B,11,CHEVROLET,HHR,LT,3GNAAFHW-B,13100
26108B,11,CHEVROLET,HHR,2LT,3GNAAGBU-B,13100
26109B,11,CHEVROLET,HHR,2LT,3GNAAGCU-B,13100
26110B,11,CHEVROLET,HHR,2LT,3GNAAGDU-B,13100
26111B,11,CHEVROLET,HHR,2LT,3GNAAGEU-B,13100
26112B,11,CHEVROLET,HHR,2LT,3GNAAGFU-B,13100
26113B,11,CHEVROLET,HHR,2LT,3GNAAGHU-B,13100
25148B,11,CHEVROLET,HHR,LS,3GNBAABW-B,12600
25149B,11,CHEVROLET,HHR,LS,3GNBAACW-B,12600
25150B,11,CHEVROLET,HHR,LS,3GNBAADW-B,12600
25151B,11,CHEVROLET,HHR,LS,3GNBAAEW-B,12600
25152B,11,CHEVROLET,HHR,LS,3GNBAAFW-B,12600
25153B,11,CHEVROLET,HHR,LS,3GNBAAHW-B,12600
25194B,11,CHEVROLET,HHR,1LT 2.4L,3GNBABBU-B,13100
25195B,11,CHEVROLET,HHR,LT,3GNBABBW-B,13100
25196B,11,CHEVROLET,HHR,1LT 2.4L,3GNBABCU-B,13100
25197B,11,CHEVROLET,HHR,LT,3GNBABCW-B,13100
25198B,11,CHEVROLET,HHR,1LT 2.4L,3GNBABDU-B,13100
25199B,11,CHEVROLET,HHR,LT,3GNBABDW-B,13100
25200B,11,CHEVROLET,HHR,1LT 2.4L,3GNBABEU-B,13100
25201B,11,CHEVROLET,HHR,LT,3GNBABEW-B,13100
25202B,11,CHEVROLET,HHR,1LT 2.4L,3GNBABFU-B,13100
25203B,11,CHEVROLET,HHR,LT,3GNBABFW-B,13100
25204B,11,CHEVROLET,HHR,1LT 2.4L,3GNBABHU-B,13100
25205B,11,CHEVROLET,HHR,LT,3GNBABHW-B,13100
25206B,11,CHEVROLET,HHR,2LT,3GNBACBU-B,13100
25207B,11,CHEVROLET,HHR,2LT,3GNBACCU-B,13100
25208B,11,CHEVROLET,HHR,2LT,3GNBACDU-B,13100
25209B,11,CHEVROLET,HHR,2LT,3GNBACEU-B,13100
25210B,11,CHEVROLET,HHR,2LT,3GNBACFU-B,13100
25211B,11,CHEVROLET,HHR,2LT,3GNBACHU-B,13100
25154B,11,CHEVROLET,HHR,LS,3GNBAEBW-B,12600
25155B,11,CHEVROLET,HHR,LS,3GNBAECW-B,12600
25156B,11,CHEVROLET,HHR,LS,3GNBAEDW-B,12600
25157B,11,CHEVROLET,HHR,LS,3GNBAEEW-B,12600
25158B,11,CHEVROLET,HHR,LS,3GNBAEFW-B,12600
25159B,11,CHEVROLET,HHR,LS,3GNBAEHW-B,12600
25212B,11,CHEVROLET,HHR,1LT 2.4L,3GNBAFBU-B,13100
25213B,11,CHEVROLET,HHR,LT,3GNBAFBW-B,13100
25214B,11,CHEVROLET,HHR,1LT 2.4L,3GNBAFCU-B,13100
25215B,11,CHEVROLET,HHR,LT,3GNBAFCW-B,13100
25216B,11,CHEVROLET,HHR,1LT 2.4L,3GNBAFDU-B,13100
25217B,11,CHEVROLET,HHR,LT,3GNBAFDW-B,13100
25218B,11,CHEVROLET,HHR,1LT 2.4L,3GNBAFEU-B,13100
25219B,11,CHEVROLET,HHR,LT,3GNBAFEW-B,13100
25220B,11,CHEVROLET,HHR,1LT 2.4L,3GNBAFFU-B,13100
25221B,11,CHEVROLET,HHR,LT,3GNBAFFW-B,13100
25222B,11,CHEVROLET,HHR,1LT 2.4L,3GNBAFHU-B,13100
25223B,11,CHEVROLET,HHR,LT,3GNBAFHW-B,13100
25224B,11,CHEVROLET,HHR,2LT,3GNBAGBU-B,13100
25225B,11,CHEVROLET,HHR,2LT,3GNBAGCU-B,13100
25226B,11,CHEVROLET,HHR,2LT,3GNBAGDU-B,13100
25227B,11,CHEVROLET,HHR,2LT,3GNBAGEU-B,13100
25228B,11,CHEVROLET,HHR,2LT,3GNBAGFU-B,13100
25229B,11,CHEVROLET,HHR,2LT,3GNBAGHU-B,13100
24414A,10,CHEVROLET,HHR,LS 2.2L AUTO,3GCAAABB-A,12250
24569A,10,CHEVROLET,HHR,LS 4DR 2.2L AUT,3GCAAADB-A,11825
24415A,10,CHEVROLET,HHR,LS 2.2L AUTO,3GCAAAEB-A,12250
24426A,10,CHEVROLET,HHR,1LT 2.2L AUTO,3GCAABBB-A,12650
28688A,10,CHEVROLET,HHR,LT 2.4L,3GCAABBV-A,12650
24575A,10,CHEVROLET,HHR,LT 4DR 2.2L AUT,3GCAABDB-A,12650
28689A,10,CHEVROLET,HHR,LT 2.4L,3GCAABDV-A,12650
24427A,10,CHEVROLET,HHR,1LT 2.2L AUTO,3GCAABEB-A,12650
28690A,10,CHEVROLET,HHR,LT 2.4L,3GCAABEV-A,12650
28691A,10,CHEVROLET,HHR,LT,3GCAACBB-A,12650
24428A,10,CHEVROLET,HHR,2LT 2.4L AUTO,3GCAACBV-A,12650
28692A,10,CHEVROLET,HHR,LT,3GCAACDB-A,12650
24576A,10,CHEVROLET,HHR,2LT 4DR 2.4L AU,3GCAACDV-A,12650
28693A,10,CHEVROLET,HHR,LT,3GCAACEB-A,12650
24429A,10,CHEVROLET,HHR,2LT 2.4L AUTO,3GCAACEV-A,12650
24416A,10,CHEVROLET,HHR,LS 2.2L MANUAL,3GCAAEBB-A,12250
24570A,10,CHEVROLET,HHR,LS 4DR 2.2L MAN,3GCAAEDB-A,12250
24417A,10,CHEVROLET,HHR,LS 2.2L MANUAL,3GCAAEEB-A,12250
24430A,10,CHEVROLET,HHR,1LT 2.2L MANUAL,3GCAAFBB-A,12650
28694A,10,CHEVROLET,HHR,LT 2.4L,3GCAAFBV-A,12650
24577A,10,CHEVROLET,HHR,LT 4DR 2.2L MAN,3GCAAFDB-A,12650
28695A,10,CHEVROLET,HHR,LT 2.4L,3GCAAFDV-A,12650
24431A,10,CHEVROLET,HHR,1LT 2.2L MANUAL,3GCAAFEB-A,12650
28696A,10,CHEVROLET,HHR,LT 2.4L,3GCAAFEV-A,12650
28697A,10,CHEVROLET,HHR,LT,3GCAAGBB-A,12650
24432A,10,CHEVROLET,HHR,2LT 2.4L MANUAL,3GCAAGBV-A,12650
28698A,10,CHEVROLET,HHR,LT,3GCAAGDB-A,12650
24578A,10,CHEVROLET,HHR,2LT 4DR 2.4L MA,3GCAAGDV-A,12650
28699A,10,CHEVROLET,HHR,LT,3GCAAGEB-A,12650
24433A,10,CHEVROLET,HHR,2LT 2.4L MANUAL,3GCAAGEV-A,12650
28302A,10,CHEVROLET,HHR,LS,3GCBAABB-A,11200
28303A,10,CHEVROLET,HHR,LS,3GCBAADB-A,11200
28304A,10,CHEVROLET,HHR,LS,3GCBAAEB-A,11200
28308A,10,CHEVROLET,HHR,LT,3GCBABBB-A,11725
28665A,10,CHEVROLET,HHR,LT 2.4L,3GCBABBV-A,11725
28309A,10,CHEVROLET,HHR,LT,3GCBABDB-A,11725
28666A,10,CHEVROLET,HHR,LT 2.4L,3GCBABDV-A,11725
28310A,10,CHEVROLET,HHR,LT,3GCBABEB-A,11725
28667A,10,CHEVROLET,HHR,LT 2.4L,3GCBABEV-A,11725
28668A,10,CHEVROLET,HHR,LT,3GCBACBB-A,11725
28311A,10,CHEVROLET,HHR,LT,3GCBACBV-A,11725
28669A,10,CHEVROLET,HHR,LT,3GCBACDB-A,11725
28312A,10,CHEVROLET,HHR,LT,3GCBACDV-A,11725
28670A,10,CHEVROLET,HHR,LT,3GCBACEB-A,11725
28313A,10,CHEVROLET,HHR,LT,3GCBACEV-A,11725
28328A,10,CHEVROLET,HHR,SS,3GCBADBM-A,15350
28329A,10,CHEVROLET,HHR,SS,3GCBADDM-A,15350
28330A,10,CHEVROLET,HHR,SS,3GCBADEM-A,15350
24422A,10,CHEVROLET,HHR,LS PANEL 2.2L M,3GCBAEBB-A,11200
24573A,10,CHEVROLET,HHR,LS PANEL 2.2L M,3GCBAEDB-A,11200
24423A,10,CHEVROLET,HHR,LS PANEL 2.2L M,3GCBAEEB-A,11200
24442A,10,CHEVROLET,HHR,1LT PANEL 2.2L,3GCBAFBB-A,11725
28671A,10,CHEVROLET,HHR,LT 2.4L,3GCBAFBV-A,11725
24583A,10,CHEVROLET,HHR,LT PANEL 2.2L M,3GCBAFDB-A,11725
28672A,10,CHEVROLET,HHR,LT 2.4L,3GCBAFDV-A,11725
